Sample1,Sample2,Sample3,Sample4,Sample6
3494,3270,4454,5894,5430
4475,3974,4567,5503,6132
7540,5223,5462,6809,11067
5668,3794,4139,5003,7578
4475,3185,4974,5462,10154
7312,4325,4908,7028,10397
5738,3620,4628,5676,9701
5967,4224,3943,5949,8602
3899,2528,3077,6491,7665
4756,3845,2782,4851,7227
4476,3530,2678,2402,5345
4005,2900,2981,10052,8028
4691,3718,2530,13756,6044
3229,2385,2414,13847,6510
2779,2957,2413,13320,6660
4218,3656,2818,15421,8211
3387,3196,2521,8404,8804
4939,4445,2909,10292,10455
3566,3389,2308,15414,9733
5407,4144,2895,8609,9759
2875,2248,1297,9722,6452
3206,2443,1944,4583,6260
3515,2780,2303,4932,7644
3110,3910,1848,3079,5287
4219,4979,2663,3520,5595
3227,3231,2045,2936,4577
3763,3792,1863,3983,3884
4013,3849,5331,6349,8457
5266,3297,4605,5941,4565
4662,2425,2709,4195,4346
7121,4707,5206,5851,10279
6378,3961,3879,6006,10559
5531,3214,3100,5320,7858
7731,5603,4309,6600,16096
6180,4562,4051,6484,30684
4109,3279,3389,5191,22539
3709,3574,2093,3669,12880
4149,3000,3020,4538,10430
3539,2784,2410,4198,5762
4766,4097,4034,10225,6458
3417,2851,3445,16200,5885
4765,4147,3630,16977,7139
3178,2992,2480,12771,7361
3191,3280,2788,11333,7984
3453,3321,2193,7538,7373
4043,3728,2897,9624,10031
3021,2013,1782,9350,4965
3034,2365,1784,7234,5619
3402,2326,1380,3610,4914
3463,2035,1383,3122,3287
2578,2174,1597,3457,4366
3666,2740,1713,2982,4045
2592,2697,1628,2615,5009
4264,4520,2786,3605,4956
4327,4174,4906,5063,7220
5798,4463,4451,6430,7088
5531,4219,4195,7403,8270
3977,3092,2990,5057,6559
3644,3132,2360,3887,5771
3668,3031,2696,5798,23848
4723,4750,4300,6978,14026
3042,2743,3413,5555,10486
3711,3619,3629,4469,13408
3655,3774,3042,4317,15409
4176,3605,3433,7304,26524
4529,3535,3363,7608,11152
4490,3898,4080,15362,9370
2707,2349,2958,10136,4019
4025,3975,3619,16573,4754
3870,3505,3636,10513,8206
2938,2589,2150,12792,5285
4073,3072,2129,13624,7400
5053,3823,3778,11648,10553
3626,2738,1973,11217,6564
3436,2499,2083,6372,6002
3939,3645,3476,7711,6969
3143,2346,1827,1975,4133
4699,2975,1923,2474,5038
3289,1493,1481,3285,4143
3388,2115,1713,3170,5319
3714,2816,1968,3584,4539
1979,5327,5436,3135,9474
5765,5495,5616,4332,9365
6805,5091,4387,5804,8463
4382,3798,3286,6070,6650
5360,4947,3341,5997,19992
4808,4679,3546,5617,18379
3240,3189,3493,5442,10664
4719,3785,5569,7120,9834
3396,2848,4302,5031,12333
4171,4331,5800,5582,15194
3064,2745,3437,4917,12763
4091,4105,5071,16804,18794
4667,4274,3870,12976,25010
2890,2706,3041,10466,8567
4161,4106,3954,11830,7149
3954,4001,3790,12591,5367
3451,3265,2816,12927,8026
6827,5247,4042,19024,9126
3570,2684,2304,15940,8142
4322,2806,1628,15327,6928
3826,2600,2157,6759,6298
3888,2678,1859,4694,5284
3940,2610,1372,4128,4586
3242,1842,1832,2366,4404
4669,3176,2511,2909,5309
3217,1492,1267,2839,3102
3071,1829,1370,2619,3276
3944,4376,4589,3437,6492
5021,6636,5908,4052,8491
4183,4485,5068,569,6133
1553,5098,3661,4325,6171
6345,10262,9342,5430,12930
3472,4797,4375,3046,8287
4101,4129,3211,3537,7194
4858,3762,2545,4611,13515
6251,4792,4185,5592,18545
4888,4256,3877,6412,10110
4983,4242,4820,6500,15103
5474,4570,4880,5966,14856
5323,3678,4324,5850,11705
3999,4069,4209,5584,12662
3280,3272,4024,10088,10418
3519,4020,3466,10021,8757
3959,5447,4341,11206,9816
2874,3587,4174,12028,13849
3055,3391,2735,2190,12410
4286,4248,4359,2950,12848
3405,3590,2991,9140,5074
4817,4673,2715,11143,7166
5184,4479,2783,10675,6796
3384,2869,1849,22173,5999
4001,3065,1763,5279,6058
4292,3398,2109,3713,5269
4038,2918,1721,3374,5127
4251,2803,2049,2734,4974
2629,1371,1243,2196,3435
5249,2934,1410,2968,3680
2905,1854,1179,2994,3999
6060,7353,8001,7106,11113
4169,6765,5442,6089,7701
3616,5771,4676,717,5407
3695,5225,4756,438,7245
6159,14424,4324,4919,8469
5577,10444,4549,3300,7709
3174,4535,4774,3677,8430
3719,4706,3335,6162,22134
3501,3095,3190,5080,14446
5174,4390,5229,7320,15072
6591,5421,7612,8591,17925
4737,3954,5548,6311,16606
3121,2792,4462,4069,7759
4649,4050,6576,8419,14719
2944,2881,4171,8694,13175
3975,4721,4301,12751,13544
3153,3744,3639,11054,10912
2421,3035,2680,8266,8953
2934,3794,2827,10547,12426
2307,2890,2466,13020,19101
1884,3649,3184,12094,13021
2861,3754,2733,10452,4699
3791,4160,2169,10377,4803
2976,2608,1534,12898,4987
3273,3945,1995,14001,6153
4107,4586,2870,7741,8310
2697,2317,1780,3184,5349
4166,3702,2226,3790,6412
3736,3113,1905,2637,4789
4889,2391,1633,4087,5170
4296,3083,1058,3093,3371
4630,6457,6313,4077,10088
3765,7217,6348,4417,8143
3208,7137,6387,6548,6814
4892,8514,6084,841,8117
2834,7146,3644,608,6940
6217,16892,3152,4879,8673
3388,12046,3784,4068,16880
3956,5172,6099,7384,23069
2886,4593,8437,8517,15656
4160,5267,12461,7574,13537
5643,6314,19543,9168,17647
3769,4110,8187,7116,15899
3991,3900,10892,5475,13933
3112,2790,12460,8285,17962
4266,4116,14834,20043,18906
4387,5002,14490,18852,12310
3314,4094,8300,11475,14069
2831,4066,4334,13744,14422
3219,4532,3777,10404,9802
2611,3166,4269,12417,14275
3373,3903,4337,7376,12229
6522,7656,4976,15354,11570
4135,4823,3259,13410,7842
3177,3633,2264,7995,5827
2626,3911,1655,9832,6587
4009,4686,2285,15504,5112
2110,2128,1317,4757,5131
4518,5077,1977,3887,5920
3731,3855,1731,3353,5551
2891,2353,1545,3391,3795
4250,2658,1449,2591,3260
4425,7062,5097,3335,10064
3450,7252,5883,4354,8950
3506,5644,5283,4630,6591
4595,6018,4043,6759,9355
5239,6030,4260,559,9089
3678,10039,7213,1718,18340
10830,12333,11989,4281,24864
8884,12966,12964,5562,17005
3730,10033,15526,8377,13827
2955,7290,16856,5669,11985
3998,10581,10895,7670,16331
3399,7419,12473,8306,12106
3195,5385,10120,6375,12974
3154,3986,12541,14438,13644
2240,2650,11561,11160,11810
3456,4285,11820,20573,12255
2137,2476,15301,13966,16028
3602,3532,13964,11613,15275
3856,5156,6748,14275,16209
3281,3650,3833,10906,12523
2491,3065,3044,14050,13793
4113,4731,3515,16920,17252
2861,4238,2828,12118,9311
2567,3243,2769,4430,6203
2724,3562,1675,11220,5751
2895,3331,1892,13138,6774
2006,2932,1825,3104,4615
2934,3542,2659,4118,7737
2546,3056,1770,2795,3824
2459,2220,1482,3284,3648
3566,3827,2349,2861,4848
4907,8197,5199,2420,10219
4100,7960,4069,3788,12542
4136,10775,3503,5144,10091
5273,7753,6172,4673,8815
5164,11259,14564,4866,8703
4480,7901,16566,118,8784
6016,10170,11522,3833,15327
9945,12925,28055,5376,15767
7944,9601,20297,6171,18253
5017,7587,10860,6553,16308
4567,11160,13222,8310,14273
4421,11213,13598,11345,17299
2084,4039,10399,6591,9462
2460,4522,10948,12183,9871
3151,5466,14014,6532,14757
6179,7569,12939,19587,15636
4253,5579,8433,6711,15027
2187,2560,7075,5093,8220
2774,3485,9622,9249,12124
2823,2450,4594,8442,11722
2979,3265,2888,11210,14005
2836,3802,2473,13643,11736
4114,5681,3627,13180,14667
3225,3158,1731,9295,6875
4907,6311,3268,10442,8498
3779,5123,2153,7086,7484
2757,3850,2160,3719,6420
2407,3512,1709,2470,4157
2475,3182,2068,3503,4486
2719,2177,1437,2650,4084
2951,3426,2151,3157,6153
4064,6574,4599,2751,16075
4419,9001,4982,2581,16196
3342,9292,5372,4124,15176
4571,7844,14073,5756,15088
4108,10246,11073,4947,11624
5849,13756,14955,916,4743
5637,8282,18532,1285,3167
7745,10709,17386,5264,5742
6894,7021,12301,4826,6576
6027,5300,11599,5385,6446
4709,9481,15141,8291,8674
9668,21953,18006,12888,15479
6306,6530,16910,12408,13583
4757,5337,13574,13882,16136
1854,3656,11989,3213,8349
4174,6616,13352,9708,13869
4373,6545,15079,9553,17501
2606,3459,10840,6712,10744
3585,5483,15271,10818,20057
4424,5745,10154,5794,17412
3564,4025,4051,7455,15856
3836,4331,3351,9731,13542
3142,3998,2109,10426,10719
4412,3656,1726,8281,14187
2769,2790,1587,8224,6077
4937,5499,3065,7442,9548
3617,4801,1945,4511,4652
1913,2651,1600,1770,3859
2567,2942,1995,2453,4219
2850,2232,1437,2579,4394
3448,4650,4090,4238,7654
4335,7252,4000,2778,16347
2795,6019,2334,2082,12445
3273,5842,10239,2373,10298
3450,8335,10538,4135,14429
8110,14827,14209,5863,21860
4986,13197,17258,4135,10801
5135,11167,15276,71,5427
9182,15287,19531,6008,6330
8868,13444,16634,6089,4585
6883,9389,13693,6359,4300
6024,8263,12482,8086,2723
4757,12904,12582,9440,3203
4004,15220,12632,14785,4445
3248,15642,12943,10873,9579
2930,13685,11751,2167,17403
1678,4915,9705,1328,9584
3329,9932,10947,4621,12463
2764,8297,10308,4964,8746
4475,10424,12225,9680,10739
3615,8101,9335,6031,6286
3082,6011,5828,4767,16426
