Sample1,Sample2,Sample3,Sample4,Sample6
1592,1291,1029,4784,3224
1892,1341,751,5042,2966
1718,1285,1004,2479,2707
1751,1292,835,2031,2451
1766,1263,644,2028,2098
1491,956,881,1221,2052
2033,1517,1150,1453,2338
1487,832,561,1454,1560
1450,951,697,1340,1672
1736,1948,1934,1509,2645
2101,2811,2329,1726,3217
1898,2130,2078,353,2551
846,2362,1514,1953,2665
2535,3705,3327,2289,4316
1660,2066,1886,1495,3276
1914,1886,1464,1680,2894
2168,1795,1229,2098,4438
2568,2121,1833,2455,5463
2168,1942,1773,2690,3684
2214,1880,2012,2738,4819
2388,1995,2086,2571,4814
2298,1683,1948,2579,4309
1814,1771,1838,2385,4302
1574,1458,1806,3604,3826
1580,1767,1586,3746,3408
1804,2249,1893,3837,3721
1374,1607,1795,4229,4749
1434,1557,1232,1019,4497
1935,1957,1840,1349,4298
1611,1623,1311,3183,2287
2070,1976,1188,3853,2955
2177,1990,1266,3646,2857
1549,1387,868,6102,2583
1805,1427,887,2057,2639
1879,1562,954,1524,2332
1794,1381,811,1703,2274
1883,1353,957,1424,2257
1299,697,609,1164,1727
2244,1421,701,1533,1801
1431,933,622,1518,1915
2441,2987,2937,2716,3874
1834,2842,2115,2359,3030
1653,2571,1871,405,2362
1686,2235,1843,255,2913
2626,4897,1878,2167,3398
2374,3705,1903,1579,3024
1541,2025,2024,1705,3015
1699,2152,1568,2588,6092
1663,1516,1480,2285,4803
2315,2001,2124,3038,4759
2775,2413,2488,3265,5422
2120,1806,2044,2656,5213
1510,1356,1840,1925,3076
2144,1773,2571,3372,4861
1485,1331,1784,3293,4493
1796,1939,1792,4235,4571
1495,1670,1603,3640,3870
1194,1374,1248,3102,3406
1405,1685,1309,3828,4250
1137,1362,1156,4407,5670
937,1606,1340,4148,4289
1407,1649,1184,3785,2094
1756,1833,971,3678,2210
1397,1267,705,4409,2349
1477,1762,934,4812,2696
1802,2027,1281,2806,3309
1252,1138,861,1514,2337
1808,1705,1020,1865,2746
1655,1501,877,1315,2200
2042,1192,777,1834,2272
1887,1475,538,1538,1703
2016,2732,2451,1773,3613
1646,3008,2397,1878,3172
1487,2980,2376,2354,2800
2057,3303,2313,446,3095
1405,2794,1597,332,2832
2724,5211,1456,2135,3203
1715,4266,1725,1903,5260
1851,2235,2363,3012,6217
1344,2037,2769,3203,4940
1871,2357,4108,3073,4447
2401,2627,5546,3448,5282
1753,1789,2923,2928,4935
1853,1807,3880,2447,4671
1619,1316,4210,3328,5422
1858,1788,4607,5820,5564
1889,2123,4589,6087,4241
1574,1801,2778,4082,4791
1374,1689,1732,4537,4683
1468,2000,1646,3739,3657
1268,1470,1836,4272,4633
1548,1793,1777,2924,4362
2529,2905,1979,4874,3994
1825,2118,1420,4506,3190
1440,1639,1004,3068,2581
1262,1784,778,3523,2854
1738,2093,1087,5107,2304
1032,1106,634,1754,2303
1916,2130,927,1817,2596
1744,1769,822,1671,2470
1362,1164,810,1652,1849
1923,1304,713,1282,1633
1925,2850,2106,1506,3620
1546,2951,2237,1818,3271
1626,2508,2151,1970,2715
2062,2681,1715,2596,3396
2278,2571,1808,321,3423
1778,3932,2430,841,5569
3979,4274,3927,1977,6539
3404,4462,3813,2478,5212
1703,3721,4625,3287,4583
1433,3042,5191,2513,4281
1833,3970,3722,3087,5221
1639,2997,4158,3267,4112
1527,2350,3717,2799,4576
1549,1840,4403,4964,4617
1133,1275,4013,4156,4276
1662,1942,4007,6461,4414
1139,1229,4697,4660,5193
1674,1567,4395,4161,5055
1726,2222,2525,4655,5198
1485,1677,1710,3748,4368
1250,1394,1333,4729,4629
1829,2051,1451,5143,5404
1377,1835,1192,4175,3465
1254,1452,1263,1930,2682
1343,1664,792,3962,2592
1337,1552,884,4497,2935
1034,1379,871,1313,2175
1407,1618,1205,1884,3083
1234,1471,821,1452,1795
1196,1110,725,1559,1786
1628,1720,1117,1413,2211
2086,3257,2071,1174,3630
1738,3090,1624,1596,4286
1838,3973,1533,2052,3669
2216,3208,2119,2017,3269
2267,4170,4408,1922,3245
2091,3224,4858,93,3303
2575,3868,3679,1794,4973
3880,4429,6611,2442,5080
3282,3646,5494,2652,5587
2159,3060,3485,2773,5137
2060,4025,4097,3286,4636
2015,4066,4260,4099,5397
1059,1944,3699,2841,3678
1220,2037,3795,4558,3787
1500,2235,4499,2624,4961
2470,2839,4249,6103,5088
1859,2289,2946,2676,4971
1118,1155,2678,2103,3424
1328,1630,3385,3352,4238
1286,1184,1871,3253,4265
1464,1411,1311,4079,4686
1345,1703,1122,4634,4171
1779,2401,1573,4476,4871
1467,1413,825,3535,2826
2042,2602,1400,3910,3305
1694,2197,1005,2840,3047
1303,1780,963,1692,2729
1177,1611,779,1230,1950
1221,1551,985,1655,2115
1304,1100,709,1318,1916
1393,1601,1008,1548,2682
1768,2782,1861,1286,4891
1943,3502,1975,1261,4923
1600,3590,2047,1813,4776
1988,3134,4498,2414,4760
1889,3815,3563,2126,3944
2557,4754,4495,409,1950
2444,3268,5348,684,1339
3225,3842,4958,2401,2409
2958,2975,3947,2222,2833
2661,2313,4008,2381,2667
2156,3652,4657,3358,3415
3671,6125,5336,4470,4942
2762,2764,5110,4490,4491
2261,2342,4441,4645,5007
1021,1772,4184,1521,3404
1968,2754,4290,3786,4704
1968,2619,4624,3669,5552
1281,1574,3749,2729,4012
1676,2342,4622,3722,5954
1945,2364,3561,2414,5422
1612,1738,1684,3072,5080
1730,1913,1464,3564,4642
1465,1827,929,3790,3989
1892,1643,795,3286,4794
1309,1344,757,3326,2608
2048,2349,1338,2952,3644
1622,2131,851,1780,2160
991,1307,749,995,1891
1199,1411,945,1253,1990
1329,1147,722,1326,2048
1552,2070,1755,1869,3038
1890,3015,1564,1281,5004
1295,2655,1106,1003,4103
1516,2623,3361,1148,3684
1658,3470,3558,1807,4676
3204,4873,4406,2311,5951
2267,4532,5116,1642,3737
2391,4091,4749,63,2233
3526,5026,5504,2517,2491
3484,4635,4920,2704,1837
2928,3632,4329,2739,1878
2674,3260,4209,3338,1245
2096,4505,4219,3540,1417
1942,4970,4238,4921,1916
1586,5051,4456,3919,3574
1470,4699,4033,984,5237
945,2261,3563,625,3722
1609,3636,3611,2000,4451
1344,3091,3461,2109,3400
1998,3707,4027,3469,3974
1672,3064,3465,2505,2659
1462,2414,2125,2015,5234
2031,2471,2276,4843,4670
1464,1906,1428,4958,4400
1478,1601,884,4789,4515
1991,2195,1155,2946,5022
2175,1876,1180,2937,2650
1740,1585,735,2553,1760
1360,1589,728,956,2100
1457,1324,886,1057,2126
1486,1333,746,911,1653
1526,1412,1002,1368,2016
1560,2634,1426,1121,4594
1652,2892,1449,838,2906
1243,2338,4328,1153,3012
1665,3112,3547,1391,3854
2406,4566,4416,1702,5766
3952,5833,5551,2796,6053
3131,4645,4372,642,5411
3568,4027,3957,1003,4945
2184,3898,3364,2182,4064
2429,4124,3651,3008,3050
1810,4296,3628,3212,2597
3051,4074,4981,4590,1177
3556,3455,4450,4961,2553
3903,3349,3525,3121,1529
3621,4076,4996,1565,3475
2422,3668,4022,1168,4237
2299,4030,4506,1441,5222
2525,2606,4021,1191,3881
1982,3135,3027,1394,3526
2191,3629,3929,1043,3548
1862,2815,3455,3186,3314
1807,3852,1599,4824,4783
1185,2355,935,4620,4461
1562,1728,871,3756,4538
1446,1675,693,3501,3783
1347,1480,808,2715,2569
1534,1375,733,1426,1874
1751,1847,1121,1271,3298
1312,1318,800,953,2783
1399,1160,999,1125,2057
774,899,613,1134,1758
1506,2365,1410,1419,4315
1256,2469,1708,980,3503
1135,2183,4070,556,4482
3417,5014,4462,1401,4991
2434,5412,4089,1480,4507
4241,6298,4970,2125,5559
2739,4443,3472,1536,4055
3458,5387,3020,56,4429
3258,4579,3778,2224,4023
3386,4711,3946,2606,4316
2813,4599,3493,2666,3586
2866,3866,3410,4242,3582
2287,3764,3340,5026,3046
2628,4523,3616,3412,3703
3498,3315,2791,4319,1423
3055,3325,3597,1479,4166
3643,3360,4578,1324,5233
2914,3046,3892,826,4854
2539,3191,3328,1148,3778
3105,3501,3503,2785,3226
2680,3101,3946,4153,2539
2755,3853,1786,5303,5223
2429,3647,1218,4717,5256
1285,2264,618,3308,4687
1669,2060,888,3671,4608
1401,1666,1183,2111,4019
1404,1405,830,1643,3114
1764,2017,1543,1654,3849
1576,1515,1048,1363,3057
1248,971,640,981,1902
1266,1324,574,1247,1534
1644,2504,845,1072,3969
1493,2313,1881,1280,4258
1608,3022,3179,712,1820
2018,3303,4011,1543,3820
2586,4600,3693,1403,3817
3630,5315,4075,1576,4587
3599,5419,4563,1983,4613
3917,4979,2678,945,4199
3311,4502,4141,1311,4457
2483,3889,3280,2116,4065
3216,5029,3968,4130,4571
3559,5026,3787,3336,4069
3577,5184,4005,4511,4131
3893,4205,4562,4280,4367
2854,4162,2567,3763,3712
2553,3706,3697,3827,2932
2536,2824,4164,3899,2757
2915,2648,3982,3033,5369
2468,2647,3664,3453,3800
2511,2610,3386,3700,3911
2746,3333,3663,4087,3154
2348,4215,2501,4759,4682
2099,3126,953,3433,3635
1941,3904,690,3721,4541
1509,1837,961,2692,4591
1289,1253,757,2503,4276
1524,1420,1076,1345,3574
1460,1479,1118,1389,3299
1157,892,671,1143,3027
996,589,358,998,1846
1121,1252,833,1426,2216
2584,3906,1464,1568,3939
2021,2635,1369,1341,4821
1991,3967,2117,936,4428
3219,4508,4895,1069,4994
2545,3384,3821,845,3292
3025,4482,3771,1217,4721
3836,5449,4229,1860,4652
3297,4271,4094,1744,4130
3394,4760,4107,361,3586
2940,4329,3433,1605,2716
3252,4545,4109,3529,2898
4128,4852,4090,4405,3759
3666,4390,3192,5177,3699
3943,5339,4820,5072,3910
2983,5300,2786,3650,3604
3311,4574,4672,4611,4613
2334,4521,4052,4428,2115
2430,3916,3659,4010,1378
2028,3540,4415,3545,1658
2399,2430,3331,2995,1975
2726,2740,3827,3906,2653
3275,4411,2467,4148,3708
2751,4715,1453,4028,4459
1991,1808,1005,3207,4618
2329,2040,1340,3498,6246
2254,2172,1464,3420,5415
1543,1007,800,1287,3086
1174,1398,920,1542,2968
1298,1180,844,1321,2930
1414,1088,553,1447,2083
1438,1413,1228,1706,2493
1265,1781,1003,919,1247
2001,3043,1360,1461,3644
2476,4600,1218,1025,5089
2208,3679,2194,1064,4444
3348,4216,3268,995,3904
2954,4230,3360,1221,3284
3480,5074,3967,1470,4331
2922,3689,3654,1598,4105
3460,3475,3502,952,3538
3099,2763,3515,1445,4011
3361,2307,4096,1620,2917
4508,2807,4325,4880,3700
4942,5236,4672,5065,4936
3681,4658,4680,4432,3276
3830,4354,2840,3557,3252
3341,4950,4260,4427,4630
2818,3506,3906,3964,2378
2925,3130,4766,3199,1473
2231,3351,3442,3650,3198
2060,3877,3640,3612,2773
2092,3143,3402,4888,2511
2298,5827,2001,4419,2586
4370,3929,1081,3467,5699
2867,2413,1294,3199,5044
2247,1350,786,3102,5910
1769,1646,1075,1911,5090
862,850,647,1761,3170
1248,1529,1053,1693,2911
1651,1461,1026,1462,2884
1142,920,564,1270,1955
1075,1094,733,1299,2095
2020,2627,1625,1566,2249
2410,3242,1718,1465,2669
2356,3611,1184,1121,4109
2478,4568,1010,1035,4543
3534,4233,1825,846,5212
3079,4221,3063,749,3595
2295,3294,2944,763,3348
3811,4595,3831,1529,4375
2768,3447,3717,1233,3845
2055,1592,3527,989,2669
3223,2457,4017,885,3155
2016,3784,5463,2859,4044
2026,4141,3291,3812,3544
3199,4351,2427,4424,4436
2917,2728,2399,2298,3339
3536,4466,4270,4310,4480
3133,4143,4948,3804,3766
2361,3810,4578,4279,2242
3474,4218,4915,4777,6401
2498,3263,3194,4000,7664
2988,3604,3979,3986,3587
1881,3403,1838,3105,2312
2089,5435,995,2927,4722
2626,2095,837,3573,5831
2080,1654,1135,2205,5689
1667,1425,975,2101,5395
1478,1469,899,2293,3048
986,1083,793,1125,2222
1447,1489,742,1038,2102
984,948,659,1154,1979
1141,1175,848,1283,2072
2450,3131,1336,1135,1771
2240,3559,1324,1130,2134
1680,3530,1101,954,2286
2246,2913,1265,1405,4423
3330,4153,1454,1434,5196
3195,4601,1295,910,5141
4037,5079,2903,1153,5106
3221,4010,4297,897,4246
2895,3565,3901,1593,3993
2489,3528,3468,1731,3347
2473,3584,4157,1123,3567
2094,4367,2986,1072,4075
2182,4349,3039,2197,4205
2815,4228,3032,3880,4124
4032,3775,3582,2916,3921
2930,3779,4525,3091,4303
3298,4802,5101,4208,4093
2289,3236,4393,3152,3919
2081,2880,3657,2319,3235
2002,3606,3223,3252,3124
2717,3529,3718,3610,6835
2432,2985,1799,4181,3722
3719,4524,1332,4853,4413
3487,1525,838,1800,5126
1746,1336,898,1741,4149
1851,1630,1036,1967,5019
1462,1489,1173,1956,2662
1173,1222,551,1304,1800
880,833,626,1114,2306
1044,833,579,1092,1711
1137,1130,890,1339,1875
2155,2575,1342,1110,1559
2123,3855,1130,871,1388
1983,4208,1174,864,2315
2700,3626,900,895,3596
2547,3450,2110,1832,4288
4034,4727,1508,1334,3549
2517,4201,1534,1257,5470
3320,4055,1697,1280,5053
2876,3499,1523,850,3669
2488,3530,3393,739,3595
3261,4465,4453,1607,5070
2168,4064,3824,1087,4482
1592,3293,2573,1642,4192
3476,4247,3144,2244,3946
3549,3473,3178,2281,4092
2582,3755,3755,2968,4271
2624,3041,5262,3445,4002
3031,3414,4526,4305,6981
2527,3194,3990,3712,2916
2329,3817,3879,3916,2961
3036,3509,2351,2828,6732
2227,2934,1531,1882,3586
1893,3394,1177,1896,4028
3492,1431,910,2355,4698
1833,1418,759,1917,5198
1410,1150,815,1585,4823
1260,1024,1031,1731,2390
1287,1327,1018,1543,2220
1226,1304,786,1292,2093
867,787,419,656,1337
1147,1255,881,1248,1784
2098,2332,1337,1145,1948
1978,2664,1032,822,1486
1816,4307,1004,906,2136
2654,3351,1306,1346,2224
2257,2915,1135,1120,3866
3265,4266,1499,1410,2511
2991,4226,1649,1770,4832
2654,3578,1197,1136,4475
2866,3202,587,615,3810
3095,3541,1374,1065,4163
3490,3858,2053,1157,3634
2579,3916,2705,1044,4315
2076,2698,2753,1229,2800
2233,2877,3317,1618,3256
3271,3764,4701,1862,4571
2675,3147,4669,1475,4838
2514,2817,4964,2106,3903
2769,2369,4841,1767,3147
2468,3844,4584,1866,2485
2581,2991,4077,1995,3168
2481,3467,2190,2110,5711
2343,2824,1427,1904,2972
2481,3685,1352,2151,4413
2816,1931,1890,2626,5144
1828,1803,955,1518,5125
1506,1236,779,1656,3818
1414,1383,756,1669,1970
1205,1414,974,1609,2218
925,1107,725,1307,2089
1171,1102,981,1166,2016
940,989,662,888,1372
1639,2190,1454,1358,2154
2321,3139,1297,873,1667
2158,4193,1432,1189,2462
1871,2438,1444,1283,2271
2619,3445,1348,1382,2443
2477,3731,1190,1060,4357
3336,4989,1300,1598,4613
3342,4249,1340,1359,4686
3217,3519,1088,851,4457
2258,3483,1147,887,4189
3306,4424,1296,1093,4123
2770,3700,1519,911,3866
2965,3687,2074,1498,3317
2236,3649,3695,1328,3743
3919,4433,4900,1558,4606
2931,4738,4618,1184,4226
1884,3730,4221,1994,6441
1442,3784,4315,1498,2759
1712,4247,3631,1407,2439
2319,3732,3191,1533,2870
2799,2335,1509,1912,4264
2085,2751,1216,1572,2918
2193,2582,1302,1885,4942
2691,2048,588,1413,5667
1510,1600,782,1486,4597
1568,1433,790,1481,3367
1374,1075,801,1284,2358
1321,1526,878,1609,2378
1519,1539,1068,1708,2561
1268,1153,902,1054,1746
1886,1943,1509,1594,2325
2320,2632,1834,1637,2505
2046,2794,1633,1350,1986
1644,2399,990,723,1386
2139,4241,1312,1317,2243
3733,4499,1712,1527,3397
2838,3869,1055,900,2905
2807,3459,2066,2006,4010
3425,4303,1251,1339,4159
3214,4638,902,788,4739
2234,3740,1206,1052,3512
3037,4383,1277,1093,3418
3379,4740,1170,1089,3664
2939,3541,1433,1358,3222
2813,4494,1604,1338,3169
3033,3246,2119,1160,2353
3211,4486,3835,1653,6420
2557,3890,3474,1861,5355
1777,3998,1988,1306,2150
2933,4414,1505,1510,3156
2748,3503,1659,1389,4357
2329,3156,1024,1296,2597
2879,2209,1875,1829,2415
2170,2004,1192,1532,4312
3049,1512,733,1705,5579
2971,1578,689,1596,4898
1839,1125,685,1329,2432
1358,966,580,1364,2521
1426,1577,1022,1504,2521
1224,1205,830,1326,2137
929,781,603,886,1354
961,1169,823,1029,1511
1606,1820,1291,1197,1754
1659,2076,1109,892,1461
1488,2283,1214,836,1535
1513,2695,1212,1237,1838
3092,3634,1627,1463,2760
2310,3189,1073,923,2195
2689,4183,1412,1314,3308
2809,4275,1439,1463,3944
3229,4347,1060,863,3804
2788,2826,1351,1457,3564
2850,3358,1437,1382,4528
2948,3942,844,1098,3781
3175,3358,1505,1690,3393
2464,4854,1166,1648,2086
3929,3431,1307,1569,3280
1727,3115,1357,1404,4293
3341,5468,2624,1938,5877
2613,4897,1462,1200,1975
3329,3910,1749,2204,2946
4190,4747,1750,1935,6273
3123,3075,1097,1673,2595
2366,2208,2007,1930,4213
2559,1658,1409,1918,5148
1377,1265,587,1251,5051
2342,1865,1091,1782,4892
2292,2009,1469,1819,2963
1159,955,664,1136,2104
1201,1418,979,1181,2368
1054,1076,796,999,1909
910,850,589,841,1315
908,1129,1075,963,1491
1275,1632,1063,998,1274
1236,1806,1103,935,1417
1140,2231,1054,830,1365
1986,2650,1719,1499,2345
2536,2913,1109,1085,1763
2906,4436,1189,976,2069
2112,2805,1083,1130,1872
2419,3155,1364,1287,2844
3380,4087,1141,937,4152
2611,3365,1187,1199,3869
3895,4433,1622,1893,4877
2953,3362,1067,1347,2961
3188,4096,1268,1639,2790
3031,6132,1809,2112,3686
3398,4683,1054,1569,6697
2504,6019,1710,2011,7009
2262,3215,1168,1783,2239
3263,2815,717,1263,2908
2938,2574,1164,1582,2907
4078,2882,1584,2063,3683
2075,2980,798,902,1638
2347,1253,780,969,4223
1794,1810,1384,1670,4639
1836,1036,580,895,5750
1698,1459,1070,1517,4741
1602,1573,984,1240,2549
1072,1041,510,1350,1674
1301,1488,1033,1434,2477
807,862,543,778,1265
1084,963,844,1149,1431
1295,1485,1002,1036,1586
1210,1373,1522,1443,2000
1501,2049,1530,1476,1975
1335,2004,1344,1069,1451
1832,2307,1345,1278,1776
2196,3420,1654,1535,2132
3079,2276,1397,1024,1927
2665,2377,1357,1351,2239
2729,4758,1193,989,1789
2720,4072,1425,1154,3060
2686,3519,1716,1607,3899
3072,3705,1333,1435,4026
3011,4257,1349,1441,3550
2621,2783,1215,1547,2101
2738,4680,1389,1759,5496
3216,4715,868,1343,2055
2346,2238,987,1832,2243
4279,2839,1050,1504,2573
3173,1921,1420,1620,2009
3842,2230,1264,1915,5067
1906,1946,1109,1620,1526
1888,3759,826,1195,3216
1491,1373,938,1226,4932
2202,1375,934,1362,5024
1607,1273,666,1063,5739
1958,1853,1378,1701,3677
1413,1492,1054,1520,2748
1321,1622,1055,1699,2453
1379,1573,1236,1156,2405
1202,1408,857,1227,1757
1798,1747,1066,1233,1544
1062,1071,751,772,1224
1399,1608,1405,1303,1892
1412,1684,1489,1292,1939
1240,1568,1247,1106,1441
1437,1683,1376,1281,1421
1913,2157,1966,1749,2348
1572,2341,1325,1063,1604
2354,2070,1353,1373,2061
2259,2234,1534,1326,2079
2124,2041,1044,739,1637
2523,2389,954,869,1767
2100,2265,1053,1071,2149
2051,1750,730,972,1760
2186,1856,1037,1228,2421
2172,2535,1288,1517,3042
4376,3046,1501,1951,3226
3822,2537,1248,1722,2606
2973,2067,1479,1737,2296
1622,1745,1686,1783,4744
1779,1609,903,1321,1996
1477,1378,1032,1532,3409
1933,1915,1309,1950,4285
2682,1987,1447,1807,4699
2450,2242,1659,1718,5357
2377,2351,1429,1454,3416
1744,1893,1653,1581,3555
1170,1409,834,1101,1812
1273,1425,671,1263,1859
1240,1511,783,1219,1513
1165,1305,913,1252,1642
941,1004,567,953,1285
1201,1297,985,1144,1719
1435,1679,1700,1585,2320
696,876,1020,837,1120
1245,1336,1283,1092,1559
1606,1595,1504,1576,1739
1328,1502,1268,1182,1453
1593,1805,1196,1084,1134
1685,1605,1265,1383,1666
1414,1578,1132,1253,1650
2318,1495,1083,1062,1644
2506,1926,1362,1381,2338
2500,1905,1492,1500,2323
2450,1540,1212,1218,4137
2353,1774,984,1266,3968
1818,1927,1415,1413,3912
2453,1463,1154,1133,4161
2031,1504,830,1114,3542
2755,2390,1586,1611,3288
1271,1711,954,1252,1485
1302,1183,766,1076,2477
1947,2082,1277,1884,4300
1648,1829,1168,1866,4673
1313,1762,999,1526,4301
1883,2011,1636,2208,4324
1181,1226,736,1605,2636
1667,1800,1282,1933,2626
1991,2158,1606,1951,2519
1258,1402,967,1764,2019
1245,1455,972,1624,1838
637,825,457,1017,1121
1303,1499,200,1198,1575
1126,1217,949,1051,1863
1391,1598,1584,1543,2068
1605,1937,1562,1349,1936
1299,1499,1198,1014,1521
1433,1425,1218,1243,1449
1324,1430,1222,1301,1445
1292,1622,1295,1271,1515
1496,1718,1234,1506,1660
1465,1721,1376,1327,1731
1487,1702,1138,1056,1645
1214,1416,1505,1586,2491
603,722,682,770,1829
1948,2031,1508,1565,4837
1521,1533,1167,1431,2449
2264,2314,1601,1671,1847
1249,1178,1155,1202,1700
1593,1822,1812,2060,2477
1785,1955,1160,1308,1972
1286,1586,1043,1210,2601
1576,1802,1511,1674,3522
1574,1978,1768,2026,3896
964,1203,710,1346,3265
1585,1717,1242,1871,3677
1382,1526,1028,1864,2816
998,1167,822,1435,2531
1364,1708,1012,1781,1900
1102,1341,933,1730,1945
1167,1311,806,1431,1447
904,1140,697,1030,1298
1191,1534,988,1533,1898
2204,2130,1747,1775,2904
1421,1449,1274,1183,2132
1301,1736,1398,1525,1785
1477,1603,1061,1111,1420
1111,1132,899,788,1017
1292,1446,1327,1340,1635
1510,1543,1392,1727,2225
932,1057,732,1030,1026
1439,1500,1193,1690,1669
2203,2249,1510,1640,1696
1620,1706,975,1216,1351
1692,1639,1068,1307,1525
1700,1590,1569,1920,2394
1306,1246,1190,1434,2246
1596,1577,1498,1934,3594
1722,1576,1614,1750,2234
991,972,772,1251,1541
1510,1670,1462,1942,2299
2030,2214,1444,1844,2698
1357,1748,1402,1648,2771
1438,1692,991,1141,1732
1537,2018,1616,1775,3722
1015,1471,838,1090,2491
1161,1398,1021,1518,2090
1873,2103,1680,2061,2769
1302,1442,943,1463,2030
1543,1768,1267,1925,2341
1221,1475,777,1278,1740
770,1035,595,1007,1270
793,1194,676,1161,1661
1247,1463,780,1005,1663
880,999,803,877,1435
1246,1331,710,697,1181
1553,1911,1504,1477,1726
1224,1481,1105,1102,1269
1116,1381,1013,948,1264
1331,1527,1421,1520,1797
2136,2184,1147,1437,1609
1039,1211,972,1112,1289
1547,1517,1042,1507,1634
1133,1229,897,1143,1173
1006,1154,1133,1213,1384
927,854,799,1219,1111
1627,1529,1384,1593,1725
1369,1314,1269,1372,1528
1610,1732,1596,1884,2448
1526,1519,1241,1695,1777
1379,1297,1029,1436,1502
1186,1166,756,1177,1183
1464,1481,1110,1777,1813
1139,1208,858,1411,1571
1316,1471,1043,1219,1729
2798,2890,1744,1902,2707
1281,1513,999,1450,1811
1192,1275,841,1623,1745
1057,1245,1149,1673,2219
1032,1135,686,1410,1638
1444,1669,1236,1702,2230
1279,1545,1053,1555,1913
991,1231,683,1101,1386
964,1505,930,1228,1791
1194,1500,985,1122,1877
768,917,831,829,1286
1233,1415,1192,1081,1883
1507,1739,1312,1713,1880
1384,1669,1163,1375,1585
1093,1320,1002,930,1179
1236,1431,1047,1281,1222
1204,1398,876,1015,1089
1173,1192,1148,1220,1407
1202,1390,1091,1429,1522
1676,1913,1472,1809,2080
1125,1359,1148,1289,1447
918,1081,838,1081,1127
2187,2292,1261,1516,1669
1221,1350,1036,1173,1395
1103,1159,1017,1163,1567
1741,1893,1370,1745,2059
1240,1133,789,1233,1201
1288,1469,1008,1502,1568
1452,1618,1152,1341,1744
1189,1411,937,1302,1548
955,1215,457,872,946
1194,1458,963,1455,1814
1158,1302,754,1225,1574
779,907,808,1085,1632
2038,2207,1755,2113,2994
939,1037,846,1315,1702
1358,1619,961,1579,1800
1130,1383,1156,1549,2113
916,1307,656,975,1382
814,1158,713,968,1499
1352,1601,1165,1001,1853
940,1000,820,901,1482
1149,1199,1163,998,1935
1976,2173,2015,2295,2541
1027,1250,1039,1235,1464
959,1188,969,1114,1281
1294,1448,1272,1462,1752
1660,1669,1452,1911,2058
1348,1485,1248,1446,1731
989,1309,1077,1556,1518
1680,1971,1310,1982,2095
1035,1214,722,1043,1179
1365,1658,923,1293,1381
1046,1274,742,1251,1108
