Sample1,Sample2,Sample3,Sample4,Sample6
1609,1638,1929,2489,2370
1960,1858,1961,2325,2657
3028,2339,2255,2755,3937
2456,1782,1851,2187,3025
2013,1518,2111,2321,3725
2938,1947,2133,2838,3824
2412,1669,1957,2401,3626
2488,1903,1799,2600,3404
1748,1234,1446,2702,3086
2090,1684,1277,2128,3041
1904,1613,1203,1200,2430
1856,1357,1373,3679,3189
2096,1703,1187,4421,2674
1575,1224,1164,4488,2733
1354,1416,1110,4258,2820
1911,1664,1300,4689,3279
1602,1520,1168,3094,3384
2124,1982,1301,3683,3851
1654,1501,1082,4825,3604
2202,1879,1292,2732,3599
1348,1162,726,3604,2744
1518,1189,920,2139,2646
1607,1370,1084,2178,3029
1448,1804,892,1551,2350
1824,2177,1220,1690,2485
1477,1621,1004,1457,2132
1671,1791,889,1881,1861
1767,1840,2124,2640,3290
2278,1583,2038,2479,2026
2100,1246,1338,1835,2079
2808,2091,2238,2484,3761
2672,1849,1713,2532,3792
2435,1568,1446,2337,3099
2999,2314,1845,2793,5139
2597,2049,1834,2772,7164
1918,1588,1613,2370,6162
1731,1654,1007,1772,4441
1829,1398,1391,2094,3463
1640,1316,1150,1896,2430
2181,1868,1780,3608,2706
1612,1359,1525,4925,2611
2035,1851,1581,5012,2959
1476,1366,1131,4049,3018
1513,1539,1272,3829,3179
1538,1551,982,2779,3002
1767,1675,1263,3305,3639
1378,1052,863,3289,2254
1415,1181,817,2746,2496
1586,1155,667,1709,2221
1600,1045,663,1555,1644
1230,1082,738,1660,2044
1600,1344,838,1505,1978
1199,1377,798,1336,2273
1789,2018,1245,1660,2268
1905,1900,2047,2194,2867
2446,1945,1985,2647,2859
2399,1904,1833,2928,3207
1859,1526,1410,2214,2731
1704,1473,1159,1890,2397
1820,1453,1311,2554,6161
2127,2037,1908,2838,4593
1518,1252,1564,2461,3759
1722,1690,1685,2080,4420
1699,1720,1404,2054,4905
1849,1655,1527,3052,6784
1945,1619,1478,2880,3867
1978,1747,1732,4634,3246
1321,1175,1352,3654,1898
1873,1805,1578,4956,2191
1794,1676,1575,3800,3302
1380,1272,966,4256,2309
1796,1469,1011,4389,3047
2097,1697,1637,3900,3871
1642,1301,877,3660,2743
1515,1185,935,2303,2605
1738,1675,1499,3095,2870
1418,1147,850,1035,1982
2011,1454,888,1350,2227
1540,858,705,1606,2016
1539,1072,787,1558,2414
1638,1326,901,1725,2117
996,2251,2154,1540,3532
2421,2396,2308,2012,3467
2734,2184,1908,2450,3225
2045,1786,1607,2599,2717
2341,2224,1611,2525,5683
2185,2061,1623,2420,5383
1616,1480,1609,2385,3760
2081,1698,2297,2911,3597
1655,1376,1918,2243,4205
1944,1895,2367,2415,4956
1431,1275,1515,2188,4397
1875,1790,2080,5025,5542
2044,1893,1719,4251,6660
1350,1266,1393,3627,3179
1882,1801,1702,4101,2864
1767,1760,1618,4187,2387
1606,1524,1245,4317,3208
2678,2234,1719,5445,3488
